id,text
22,<|id|> Besok ada<|en|> deadline<|id|> buat<|en|> submit<|id|> abstrak<|en|> paper<|id|> di konferensi itu.
23,<|id|> Aku lagi cari dataset yang<|en|> reliable<|id|> buat eksperimen tugas akhir.
24,<|id|> Dosen pembimbing aku<|en|> fast response<|id|> banget kalau<|id|>di-<|en|>chat<|id|> soal revisi.
25,<|id|> Jangan lupa<|en|> cite<|id|> sumbernya biar nggak dianggap<|en|> plagiarism.
26,<|id|> Kita butuh<|en|> respondent minimal<|id|> seratus<|en|> orang<|id|> buat<|en|> survey<|id|> ini.
27,<|id|> Presentasi besok harus pakai<|en|> slide<|id|> yang eye-catching biar dapet nilai<|en|> A.
28,<|id|> Aku lagi nunggu<|en|> approval<|id|> buat dapet dana<|en|> research<|id|> dari kampus.
29,<|id|> Buku ini sangat<|en|> insightful<|id|> buat nambah referensi bab tiga nanti.
30,<|id|> Tugasnya susah banget.<|en|> I don't think I can finish it tonight.
31,<|id|> Aku udah kirim email.<|en|> I hope the professor<|id|> replies<|en|> by tomorrow.
32,<|id|> Hasilnya nggak<|en|> valid. We need to re-run the whole experiment.
33,<|id|> Nanti kita sharing materi<|en|> ya. Knowledge<|id|> sharing<|en|> is good for everyone.
34,<|id|> Tolong<|en|> translate<|id|> paragraf ini ke bahasa Inggris yang lebih<|en|> formal.
35,<|id|> Aku dapet<|en|> scholarship<|id|> buat lanjut<|en|> S2<|id|> di Jepang tahun depan.
36,<|id|> Sistem KRS-nya<|en|> crash<|id|> gara-gara terlalu banyak yang<|en|> login<|id|> barengan.
37,<|id|> Jangan lupa bawa<|en|> id card<|id|> pas mau masuk ke ruang ujian nanti.
38,<|id|> Metode ini lebih<|en|> efficient<|id|> daripada metode yang kita pakai sebelumnya.
39,<|id|> Coba baca jurnal ini.<|en|> It<|id|> contains<|en|> a very detailed methodology section.
40,<|id|> Aku mau<|en|> break<|id|> dulu. Studying<|en|> for ten<|id|> hours<|en|> straight is exhausting.
41,<|id|> Daftar pustakanya harus<|id|>di-<|en|>sort<|id|> sesuai urutan abjad<|en|> ya.
42,<|id|> Tolong<|en|> print<|id|> draf ini dua rangkap buat diserahin ke prodi.
43,<|id|> Laporan keuangannya harus<|id|>di-<|en|>audit<|id|> biar lebih<|en|> transparent.
44,<|id|> Kita perlu<|en|> budget allocation<|id|> yang jelas buat<|en|> campaign<|id|> bulan depan.
45,<|en|> Profit<|id|> kita<|en|> naik<|id|> drastis.<|en|> It's a very good sign for the<|id|> investors.
46,<|id|> Jangan lupa<|en|> attach<|en|>file<|id|>-nya pas kamu kirim email ke<|en|> manager.
47,<|en|>Meeting<|id|>-nya<|id|>di-<|en|>reschedule<|id|> jadi<|en|> jam<|id|> tiga<|en|> sore<|id|> karena kliennya sibuk.
48,<|id|> Kita butuh brainstorming buat cari<|en|> ide product launch<|id|> yang unik.
49,<|id|> Kerjaan kamu bagus banget.<|en|> Keep up the good work!
50,<|en|> Project<|id|> ini bakal jadi<|en|> milestone<|id|> penting buat karir kamu.
51,<|id|> Kliennya sudah setuju.<|en|> We should prepare the contract immediately.
52,<|id|> Kamu harus lebih<|en|> assertive<|id|> pas lagi negosiasi gaji nanti.
53,<|en|> Draft<|id|> proposalnya masih perlu banyak<|en|> improvement<|id|> di bagian<|en|> executive summary.
54,<|id|> Jangan lupa networking.<|en|> It is the key to success in this industry.
55,<|id|> Sistem<|en|> reimbursement<|id|> di kantor ini agak<|en|> complicated<|id|> prosedurnya.
56,<|id|> Dia itu<|en|> visionary<|id|> banget kalau soal pengembangan bisnis startup.
57,<|id|> Tolong<|en|> update<|en|>progress<|id|>-nya di Trello biar semua<|en|> orang<|id|> tahu.
58,<|id|> Kita butuh<|en|> talent baru<|id|> yang punya<|en|> growth<|id|> mindset yang kuat.
59,<|id|> Evaluasinya sudah selesai.<|en|> The<|id|> results<|en|> are better than we<|id|> expected.
60,<|en|> Budget marketing<|id|> kita udah over-limit gara-gara iklan kemarin.
61,<|id|> Musuhnya kuat banget.<|en|> We need a better strategy to win this.
62,<|id|> Karakternya<|en|> baru<|id|> aja di-nerf sama<|en|>developer<|id|>-nya minggu lalu.
63,<|id|> Jangan lupa<|en|> loot<|en|>item<|id|>-nya sebelum kita pindah ke<|en|> map<|id|> selanjutnya.
64,<|id|> Darahku tinggal sedikit.<|en|> I need a healing potion right now!
65,<|id|> Senjata ini overpowered banget buat lawan<|en|> boss<|id|> di<|en|> level<|id|> akhir.
66,<|id|> Aku lagi<|en|> grinding<|id|> buat dapetin<|en|> skin limited edition<|id|> itu.
67,<|id|> Gamenya seru banget.<|en|> I can't stop<|id|> playing<|en|> it all day long.
68,<|id|> Coba<|id|>di-<|en|>check<|id|> walkthrough-nya di YouTube kalau kamu bingung.
69,<|id|> Kita butuh<|en|> healer<|id|> satu lagi biar timnya lebih<|en|> balance.
70,<|id|> Jangan<|id|>nge-<|en|>troll<|id|> dong.<|en|> Play seriously if you want to rank up.
71,<|en|> Skill<|id|> pasifnya nambahin<|en|> damage<|id|> tiap<|en|> kali<|id|> kita mukul musuh.
72,<|id|> Servernya lagi<|en|> maintenance. We can't log in until tomorrow.
73,<|id|> Tolong<|id|>di-<|en|>ping<|id|> lokasinya kalau kamu nemu musuh di sekitar sini.
74,<|id|> Aku dapet<|en|> rare drop<|id|> pas lagi kelarin<|en|> quest<|id|> yang tadi.
75,<|id|> Mainnya jangan<|en|> toxic ya. Just enjoy the game and have fun.
76,<|id|> Dia itu<|en|> pro player<|id|> yang udah sering menang<|en|> tournament<|id|> internasional.
77,<|id|> Aku lagi coba<|en|> intermittent fasting<|id|> biar<|en|> berat badan<|id|> lebih<|en|> ideal.
78,<|en|> Workout<|id|> hari ini fokus ke bagian<|en|> upper body<|id|> sama<|en|> core.
79,<|id|> Badanku pegal semua.<|en|> I think I<|id|> pushed<|en|> myself too hard yesterday.
80,<|id|> Jangan lupa stretching dulu sebelum mulai<|en|> lari<|id|> biar nggak cidera.
81,<|id|> Suplemen ini mengandung banyak<|en|> protein<|id|> buat<|en|> recovery<|id|> otot.
82,<|id|> Kamu kelihatan lemas.<|en|> You should get some rest and drink more water.
83,<|id|> Aku ngerasa lebih<|en|> fresh<|id|> setelah rajin meditasi setiap pagi.
84,<|id|> Makanan ini<|en|> healthy<|id|> banget tapi rasanya tetep enak di lidah.
85,<|id|> Jangan begadang terus.<|en|> Sleep deprivation is bad for your health.
86,<|en|> Target<|id|> aku bulan ini mau turunin<|en|> body fat<|id|> sekitar dua persen.
87,<|id|> Coba ganti<|en|> nasi<|id|> putih sama<|en|> quinoa<|id|> biar lebih<|en|> high fiber.
88,<|id|> Ototku kram tiba-tiba.<|en|> I need to take a break for a while.
89,<|id|> Olahraga cardio itu bagus banget buat ningkatin<|en|> stamina<|id|> jantung.
90,<|id|> Aku lagi<|en|> craving salad<|id|> buah yang dingin pas cuaca panas gini.
91,<|id|> Tetap semangat<|en|> ya. Consistency is the key to getting fit.
92,<|id|> Porsi makannya harus<|id|>di-<|en|>control<|id|> biar nggak kelebihan kalori.
93,<|id|> Jalan<|en|> kaki<|id|> sepuluh ribu<|en|> step<|id|> sehari itu<|en|> habit<|id|> yang bagus.
94,<|id|> Jangan lupa pakai sunscreen.<|en|> Protecting your skin is very important.
95,<|id|> Aku<|en|> baru<|id|> beli sepatu<|en|> lari<|id|> yang sangat<|en|> lightweight<|id|> dan nyaman.
96,<|en|> Mental health<|id|> itu sama pentingnya sama kesehatan fisik kita.
97,<|en|> View<|id|> dari jendela pesawat pas lagi<|en|> sunset<|id|> bener-bener breathtaking.
98,<|id|> Kita harus cari<|en|> hidden gem<|id|> di daerah sini biar nggak mainstream.
99,<|id|> Jalannya macet banget.<|en|> We are going to be late for the flight.
100,<|id|> Tolong<|id|>di-<|en|>book<|id|> hotelnya yang dekat sama stasiun kereta<|en|> ya.
101,<|id|> Tempatnya jauh banget.<|en|> It<|id|> takes<|en|> three<|id|> hours<|en|> to get there by bus.
102,<|id|> Aku lebih suka<|en|> solo traveling<|id|> karena lebih bebas mau ke mana aja.
103,<|id|> Jangan lupa bawa<|en|> universal adapter<|id|> buat<|id|>nge-<|en|>charge<|id|> hp di sana.
104,<|id|> Cuacanya lagi bagus.<|en|> It is the perfect time to visit the beach.
105,<|id|> Kita butuh<|en|> itinerary<|id|> yang jelas biar nggak bingung pas sampai tujuan.
106,<|id|> Aku lupa bawa paspor.<|en|> I have to go back home and get it.
107,<|id|> Tolong di-check-in online dulu biar kita nggak usah ngantri<|en|> lama.
108,<|id|> Makanannya enak-enak di sini.<|en|> I want to try everything on the menu.
109,<|id|> Transportasi umum di negara ini sangat<|en|> reliable<|id|> dan tepat waktu.
110,<|id|> Jangan lupa tukar<|en|> uang<|id|> ke<|en|> currency<|id|> lokal sebelum kita berangkat.
111,<|id|> Aku tersesat tadi.<|en|> Thank God I have<|id|> Google Maps<|en|> on my phone.
112,<|id|> Hotelnya punya fasilitas<|en|> infinity pool<|id|> yang menghadap ke laut.
113,<|id|> Perjalanannya melelahkan tapi<|en|> worth it<|id|> sama pemandangan yang didapet.
114,<|id|> Aku lagi nunggu<|en|> flash sale<|id|> biar bisa dapet diskon gede-gedean.
115,<|id|> Bagus banget warnanya.<|en|> It<|id|> matches<|en|> perfectly with your<|id|> shoes.
116,<|id|> Tolong<|id|>di-<|en|>refund<|id|> aja kalau barangnya rusak pas nyampe rumah.
117,<|id|> Aku suka belanja di<|en|> thrift shop<|id|> karena banyak barang<|en|> vintage<|id|> unik.
118,<|id|> Antriannya panjang banget.<|en|> I don't think I want to buy this<|id|> anymore.
119,<|id|> Jangan lupa pakai<|en|> voucher<|id|> diskonnya biar harganya lebih murah.
120,<|id|> Pengirimannya cepat banget.<|en|> I received the package in just one day.
121,<|en|> Material<|id|> tas ini terbuat dari<|en|> genuine leather<|id|> yang sangat awet.
122,<|id|> Aku lebih suka belanja online karena lebih<|en|> time-saving<|id|> dan praktis.
123,<|id|> Barangnya palsu.<|en|> You should report this store to the<|id|> authorities.
124,<|id|> Gue lagi nunggu<|en|> feedback<|id|> dari<|en|> advisor<|id|> soal draf bab empat.
125,<|id|> Metodologinya masih agak membingungkan.<|en|> I need to read more<|id|> papers<|en|> about this.
126,<|id|> Dosennya minta gue buat nambahin<|en|> ablation study<|id|> di bagian eksperimen.
127,<|id|> Hasilnya nggak signifikan.<|en|> Maybe the learning rate is too high.
128,<|id|> Lagi pusing mikirin<|en|> knowledge distillation<|id|> buat<|en|> model<|id|> ASR<|en|> gue.
129,<|id|> Sidangnya minggu depan.<|en|> I am so nervous but excited at the same time.
130,<|id|> Gue butuh GPU yang lebih<|en|> powerful<|id|> buat<|en|> running model<|id|> ini.
131,<|en|> Paper<|id|> ini sangat<|en|> insightful. It<|id|> explains<|en|> the core concept very clearly.
132,<|id|> Jangan lupa<|en|> attach supplementary<|en|>material<|id|>-nya pas<|en|> submit<|id|> nanti.
133,<|id|> Gue lagi cari state-of-the-art<|en|> method<|id|> buat<|en|> problem<|id|> yang gue hadapi.
134,<|en|>Deadline<|id|>-nya besok pagi.<|en|> I have to stay up all night to finish this.
135,<|en|>Reviewer<|id|>-nya kritis banget.<|en|> Their<|id|> comments<|en|> are actually very helpful though.
136,<|id|> Gue dapet<|en|> opportunity<|id|> buat presentasi di<|en|> conference<|id|> internasional.
137,<|id|> Tolong bantu gue buat reformat tabel ini biar lebih rapi.
138,<|en|>Library<|id|>-nya udah mau tutup. Let's<|en|> continue our discussion tomorrow.
139,<|id|> Gue lagi<|en|> apply<|id|> buat<|en|> intern<|id|> di<|en|> lab research<|id|> luar negeri.
140,<|id|> KRS gue belum<|id|>di-<|en|>approve. I need to talk to the department head.
141,<|id|> Materi kuliah tadi pagi bener-bener mind-blowing banget.
142,<|id|> Gue butuh kuesioner yang<|en|> valid<|id|> buat ngukur<|en|> user satisfaction.
143,<|id|> Presentasinya berjalan lancar.<|en|> Everyone<|id|> seemed<|en|> to understand the main<|id|> points.
144,<|id|> Jangan lupa<|en|> backup code<|id|> kamu ke GitHub secara<|en|> regular.
145,<|id|> Gue lagi baca jurnal soal<|en|> transfer learning<|id|> buat<|en|> speech recognition.
146,<|id|> Dosennya nggak masuk hari ini.<|en|> The lecture is<|id|> postponed<|en|> until<|id|> Friday.
147,<|id|> Tolong<|en|> translate technical<|id|> terms ini ke bahasa Indonesia yang<|en|> proper.
148,<|id|> Gue lagi nyusun<|en|> outline<|id|> buat bab pendahuluan skripsi<|en|> gue.
149,<|id|> Gue pesen<|en|> iced<|id|> americano aja.<|en|> It's the best fuel for<|id|> studying.
150,<|id|> Nanti<|en|> sore<|id|> kita nongkrong bentar<|en|> ya<|id|> buat<|en|> celebrate<|id|> habis ujian.
151,<|id|> Makanannya enak tapi pricey.<|en|> I think once a week is enough for me.
152,<|id|> Gue lagi nunggu temen gue yang katanya lagi otw dari kosan.
153,<|id|> Udah reservasi tempat belum?<|en|> The place is usually fully booked on<|id|> weekends.
154,<|id|> Ayo kita foto bareng dulu.<|en|> This moment is definitely worth a post.
155,<|id|> Gue dapet<|en|> free refill<|id|> minum gara-gara pakai kartu mahasiswa.
156,<|id|> Hujannya deres banget di luar. Let's<|en|> just stay here until it<|id|> stops.
157,<|id|> Gue dapet info soal<|en|> volunteer program<|id|> di website kemahasiswaan.
158,<|id|> Jangan lupa bawa payung.<|en|> The weather is very unpredictable lately.
159,<|id|> Gue lagi pengen cari vibe<|en|> baru<|id|> buat ngerjain tugas biar nggak bosen.
160,<|id|> Gue udah pesen makan lewat ojek online.<|en|> It should arrive in ten<|id|> minutes.
161,<|id|> Gue dapet diskon khusus<|en|> student<|id|> kalau belanja di<|en|> toko<|id|> buku itu.
162,<|en|> Mending<|id|> kita<|en|> naik motor<|id|> aja.<|en|> Parking is such a nightmare in this mall.
163,<|id|> Gue lagi nabung buat beli<|en|> merch<|id|> dari<|en|> band<|id|> favorit gue bulan depan.
164,<|id|> Jangan lupa bayar patungan-nya<|en|> ya. Just transfer it to my bank account.
165,<|id|> Gue dapet<|en|> invitation<|id|> buat dateng ke talkshow soal startup minggu ini.
166,<|id|> Vibe kantin fakultas gue sekarang udah beda banget semenjak di-renov.
167,<|id|> Bosen banget di kosan terus. Let's<|en|> go out and find some fresh air.
168,<|id|> Gue mau<|en|> upgrade membership<|id|> Spotify gue biar bisa dapet<|en|> student plan.
169,<|id|> Gue lupa bawa dompet.<|en|> Can you lend me some money for now?
170,<|id|> Kafe itu punya<|en|> outdoor area<|id|> yang enak banget buat nyore.
171,<|id|> Gue lagi nyari<|en|> partner<|id|> buat ikut lomba<|en|> business plan<|id|> tingkat nasional.
172,<|id|> Udah malem nih.<|en|> I think we should head back home now.
173,<|id|> Gue kena<|en|> burn-out<|id|> gara-gara kebanyakan ikut organisasi di kampus.
174,<|id|> Gue pengen self-reward setelah seminggu penuh begadang nugas.
175,<|id|> Gue lagi nyari part-time<|en|> job<|id|> yang fleksibel buat nambah<|en|> uang<|id|> jajan.
176,<|id|> Jangan lupa isi absen<|en|> ya. Attendance is mandatory for this course.
177,<|id|> Gue dapet motivasi<|en|> baru<|id|> buat kelarin skripsi tepat waktu tahun ini.
178,<|id|> Gue ngerasa<|en|> stuck<|id|> di bab tiga.<|en|> I need a breakthrough soon.
179,<|id|> Tolong ingetin gue buat<|en|> submit<|en|>file<|id|>-nya sebelum<|en|> jam<|id|> dua belas malam.
180,<|id|> Gue lagi coba<|en|> morning routine baru<|id|> biar lebih produktif setiap hari.
181,<|id|> Nilai gue keluar semua.<|en|> Most of them are actually quite good.
182,<|id|> Gue dapet<|en|> voucher free<|id|> ongkir buat beli buku di marketplace online.
183,<|id|> Jangan lupa<|en|> register<|id|> buat<|en|> workshop<|id|> coding yang diadakan prodi.
184,<|id|> Capek banget hari ini.<|en|> I just want to lay down and do nothing.
185,<|id|> Gue lagi nyari referensi<|en|> outfit<|id|> yang<|en|> simple<|id|> buat dipake ke kampus.
186,<|id|> Dosen itu terkenal<|en|> killer<|id|> kalau ngasih nilai tugas ke mahasiswa.
187,<|id|> Gue mau ikutan<|en|> exchange program. It is a<|id|> once-in-a-lifetime<|en|> opportunity.
188,<|id|> Gue lagi ngatur<|en|> schedule<|id|> biar bisa<|en|> balance<|id|> antara kuliah sama hobi.
189,<|id|> Tolong<|en|> share<|id|> materi presentasi yang tadi<|en|> ya<|id|> di grup WhatsApp.
190,<|id|> Gue lupa<|en|> password portal<|id|> mahasiswa.<|en|> I need to reset it immediately.
191,<|id|> Gue dapet pujian dari dosen gara-gara<|en|> paper gue<|id|> sangat<|en|> original.
192,<|id|> Jangan lupa bawa jas almamater pas mau foto buat ijazah nanti.
193,<|id|> Gue butuh bantuan buat<|en|> install<|id|> software-nya.<|en|> It<|id|> keeps crashing<|en|> on my<|id|> laptop.
194,<|id|> Gue lagi nunggu pengumuman hasil seleksi beasiswa luar negeri.
195,<|id|> Tadi ada<|en|> guest lecture<|id|> yang bahas soal<|en|> masa<|id|> depan<|en|> artificial intelligence.
196,<|id|> Gue mau liburan ke<|en|> Bali<|id|> habis wisuda.<|en|> I really need a vacation.
197,<|id|> Gue dapet<|en|> insight baru<|id|> soal cara kelola waktu yang lebih efisien.
198,<|id|> Tolong bantu gue buat<|en|> proofread<|id|> esai ini sebelum gue kumpulin.
199,<|id|> Gue telat bangun pagi ini.<|en|> I<|id|> missed<|en|> the first session of the seminar.
200,<|id|> Gue lagi nyoba<|en|> platform baru<|id|> buat belajar<|en|> skill<|id|> desain grafis.
201,<|id|> Gue dapet previlege buat dapet akses ke<|en|> lab<|id|> komputer fakultas.
202,<|id|> Jangan lupa makan siang<|en|> ya. Don't skip your<|id|> meals<|en|> because of work.
203,<|id|> Gue ngerasa lebih<|en|> confident<|id|> buat presentasi setelah latihan berkali-kali.
204,<|id|> Gue harus<|en|> apply visa<|id|> dulu sebelum berangkat ke Jepang bulan depan.
205,<|en|> Passport gue<|id|> udah mau expired.<|en|> I need to renew it as soon as possible.
206,<|id|> Jangan lupa bawa<|en|> universal adapter<|id|> buat<|id|>nge-<|en|>charge<|id|> laptop di sana.
207,<|en|>Flight<|id|>-nya kena<|en|> delay<|id|> tiga<|en|> jam. This is so<|id|> frustrating<|en|> for us.
208,<|id|> Gue dapet<|en|> free upgrade<|id|> ke<|en|> business class<|id|> gara-gara kumpulin miles.
209,<|en|>Boarding<|id|>-nya udah mulai.<|en|> We should go to the gate right now.
210,<|id|> Gue lagi cari<|en|> travel insurance<|id|> yang<|en|> cover<|id|> semua<|en|> medical<|id|> expenses.
211,<|en|> City pass<|id|> ini sangat<|en|> worth it<|id|> kalau mau keliling banyak<|en|> museum.
212,<|id|> Udah dapet<|en|> hotel<|id|> belum?<|en|> I am still looking for a cheap<|id|> Airbnb.
213,<|id|> Gue lebih suka<|en|> solo traveling<|id|> karena<|en|>itinerary<|id|>-nya lebih fleksibel.
214,<|id|> Jangan lupa isi<|en|> arrival card<|id|> pas masih di dalem pesawat nanti.
215,<|en|>View<|id|>-nya dari jendela pesawat keren banget.<|en|> The sunset is<|id|> breathtaking.
216,<|id|> Gue butuh<|en|> roaming data<|id|> yang stabil biar bisa tetep<|en|> update<|id|> di sosial<|en|> media.
217,<|id|> Tadi gue sempet nyasar di<|en|> terminal<|id|> dua gara-gara salah liat<|en|> sign.
218,<|id|> Jangan lupa tukar<|en|> currency<|id|> lokal.<|en|> It's better to have some cash in hand.
219,<|id|> Gue dapet<|en|> voucher<|id|> diskon buat belanja di<|en|> duty free<|id|> bandara.
220,<|id|> Proses check-in online sekarang jauh lebih<|en|> convenient<|id|> dan cepet.
221,<|id|> Koper gue ilang di<|en|> transit. I hope they find it very soon.
222,<|id|> Gue mau cobain<|en|> street food<|id|> lokal yang<|en|> paling viral<|id|> di daerah ini.
223,<|id|> Tolong di-translate-kan<|en|> menu<|id|> ini ke bahasa Inggris biar gue nggak salah pesen.
224,<|id|> Cuacanya sangat dingin di luar.<|en|> Make sure to wear your winter coat.
225,<|id|> Gue lagi nunggu<|en|> shuttle bus<|id|> buat ke stasiun kereta pusat.
226,<|id|> Jangan lupa simpan<|en|> boarding pass<|id|> kamu sampai keluar dari bandara.
227,<|id|> Perjalanannya melelahkan banget.<|en|> I just want to<|id|> check-in<|en|> and sleep.
228,<|id|> Gue dapet<|en|> privilege<|id|> buat masuk ke<|en|> airport lounge<|id|> secara<|en|> gratis.
229,<|id|> Jangan lupa bawa sunscreen.<|en|> The sun is very strong in this country.
230,<|id|> Gue lagi<|en|> browsing<|id|> nyari tiket promo buat liburan<|en|> summer<|id|> nanti.
231,<|id|> Gue kena<|en|> jet lag<|id|> parah.<|en|> It's already midnight but I can't sleep.
232,<|id|> Tolong<|en|> reconfirm<|id|> lagi<|en|>booking<|id|>-an<|en|> hotel<|id|> kita buat malam ini.
233,<|id|> Gue ngerasa<|en|> safe<|id|> banget jalan<|en|> kaki<|id|> sendirian di kota ini pas malam.
234,<|id|> Jangan lupa selfie di depan<|en|> landmark<|id|> itu.<|en|> It's a<|id|> must-do<|en|> thing!
235,<|id|> Gue mau<|en|> road trip<|id|> ke<|en|> Bali<|id|> bareng temen-temen kantor minggu depan.
236,<|id|> Tiket keretanya udah<|en|> sold out. We should have booked it last month.
237,<|id|> Gue dapet promo<|en|> buy one get one<|id|> buat tiket masuk ke taman bermain.
238,<|id|> Jalannya macet parah gara-gara<|en|> long weekend. It's better to stay home.
239,<|id|> Gue lebih suka<|en|> naik<|id|> MRT daripada busway karena lebih<|en|> time-saving.
240,<|id|> Jangan lupa tap-in kartu e-money kamu pas mau masuk ke peron.
241,<|id|> Gerbongnya penuh banget.<|en|> I hate commuting during rush hour.
242,<|id|> Gue lagi nyari homestay yang punya vibe pedesaan di daerah Jogja.
243,<|id|> Tolong<|en|> share<|id|> lokasinya di WhatsApp biar gue nggak nyasar pas nyari kafenya.
244,<|id|> Pemandangannya indah banget.<|en|> I really love the atmosphere here.
245,<|id|> Gue dapet diskon khusus buat pengguna<|en|> debit bank<|id|> tertentu pas beli tiket.
246,<|id|> Jangan lupa bawa<|en|> outfit<|id|> yang nyaman buat trekking di gunung nanti.
247,<|id|> Hotelnya sangat recommended.<|en|> The staff are very friendly and helpful.
248,<|id|> Gue lagi nunggu jemputan<|en|> travel<|id|> di depan<|en|> lobby<|id|> apartemen.
249,<|id|> Coba cek jadwal keberangkatan<|en|>bus<|id|>-nya di aplikasi biar nggak telat.
250,<|id|> Harganya bener-bener<|en|> affordable. It's perfect for a student budget.
251,<|id|> Gue dapet<|en|> refund<|id|> tiket gara-gara acaranya<|id|>di-<|en|>cancel<|id|> secara mendadak.
252,<|id|> Jangan lupa pakai<|en|> helm<|id|> pas lagi<|en|> naik<|id|> ojek biar tetep<|en|> safety.
253,<|id|> Makanannya sangat<|en|> authentic. It<|id|> tastes<|en|> exactly like home cooking.
254,<|id|> Gue mau staycation di Bandung buat<|en|> refreshing<|id|> dari kerjaan kantor.
255,<|id|> Udaranya sejuk banget di sini.<|en|> It's a nice break from<|id|> Jakarta's<|en|> pollution.
256,<|id|> Gue lagi cari<|en|> rental motor<|id|> yang harganya<|en|> reasonable<|id|> di daerah Canggu.
257,<|id|> Jangan lupa bawa powerbank biar hp nggak low-bat pas lagi eksplor.
258,<|id|> Tempatnya instagramable banget.<|en|> You should take a lot of<|id|> photos.
259,<|id|> Gue dapet info soal rute<|en|> baru<|id|> dari berita di<|en|> media<|id|> sosial kemarin.
260,<|id|> Tolong packing-kan oleh-olehnya biar nggak rusak pas di bagasi.
261,<|id|> Waktunya tinggal sedikit.<|en|> We need to catch the last train.
262,<|id|> Gue ngerasa capek banget habis perjalanan jauh sepuluh<|en|> jam.
263,<|id|> Jangan lupa aktifkan fitur GPS biar rute perjalanannya lebih akurat.
264,<|id|> Gue ketinggalan pesawat.<|en|> I can't believe I<|id|> overslept<|en|> this morning.
265,<|id|> Gue mau cobain fasilitas glamping yang lagi ngetren di daerah Bogor.
266,<|id|> Tolong<|en|> update<|id|> estimasi waktu kedatangan di grup biar kita nggak nunggu<|en|> lama.
267,<|id|> Liburannya berkesan banget.<|en|> I will definitely come back here someday.
268,<|id|> Gue lagi nunggu konfirmasi dari<|en|> host<|id|> Airbnb soal<|en|> jam<|id|> check-in.
269,<|id|> Kamarnya kotor banget.<|en|> I want to request a room change.
270,<|id|> Jangan lupa minta<|en|> extra pillow<|id|> kalau kamu ngerasa bantalnya kurang.
271,<|id|> Gue butuh fasilitas<|en|> laundry<|id|> di<|en|> hotel<|id|> karena baju bersih gue udah abis.
272,<|en|>Breakfast<|id|>-nya enak banget.<|en|> There are so many<|id|> options<|en|> to choose from.
273,<|id|> Gue mau<|en|> extend<|id|> durasi menginap gue jadi tiga malam lagi.
274,<|id|> Tolong<|id|>di-<|en|>check<|id|> lagi apakah hotelnya punya fasilitas<|en|> gym<|id|> atau kolam renang.
275,<|id|> Wifi-nya lemot banget.<|en|> I can't even open my<|id|> email<|en|> properly.
276,<|id|> Gue dapet<|en|> special rate<|id|> gara-gara<|en|> booking<|id|> lewat aplikasi jauh-jauh hari.
277,<|id|> Jangan lupa kasih<|en|> tip<|id|> buat<|en|> bellboy<|id|> yang udah bantuin bawa koper kamu.
278,<|id|> Tempatnya strategis banget.<|en|> It's<|id|> located<|en|> right in the city center.
279,<|id|> Gue dapet<|en|> free late<|id|> check-out sampai<|en|> jam<|id|> empat<|en|> sore<|id|> dari pihak<|en|> hotel.
