filename,pseudo_label
00016.wav,"15-20 menit, tapi aku ngerti karena memang mereka harus serve semua orang dan microwave di pesawat itu kan limited, belum lagi platingnya, jadi memang harus take time. Tahu telurnya enak banget guys, dan kulitnya di deep fry dulu tuh, selesai enak ini. Coba miso-nya, miso-nya sama kayak yang terakhir ya, dikit banget, kita coba. Miso-nya enak banget guys, dan aku seneng banget pilih yang Japanese, karena kulit tetangga-tetangga aku pada pesan yang international tuh steak, dan steak ya gitu-gitu aja kan sebenarnya. Sama tadi ada kayak roti gitu."
00017.wav,"Tapi jujur kelihatan enak juga. Tapi kalau menurutku ya steak yaudah gitu-gitu aja gitu lah. Paling jenis dagingnya beda, sausnya beda, tapi ya nggak banyak. Kalau ini kan kayak beda cara masak. Self-preference aja sih guys. Aku jujur suka banget makanan Jepang. Suka banget. Kalau bisa pilih satu cuisine, aku bakal pilih Jepang. Buat dibilang sebagai favorite. Kalau kayak kalian mau ke Jepang manapun, standarnya tuh enak. Kalian nggak bakal ketemu restoran yang nggak enak. Nggak apa-apa loh. Menurutku mereka hebat di situ. Standarnya sama semua, hebat."
00020.wav,"Jadi aku pilih ini deh, kita coba ya. Rasanya kayak makan nasi kari Jepang, pakai acar, teksturnya sangat acar. Karinya tuh bener-bener kosong, gitu. Gak ada apa-apa. Terus ini porsi nasinya banyak lagi, lebih banyak dari yang tadi. Makan ini sih ngejar-ngejarnya sih, soalnya gak ada protein. Tapi jujur tadi pas dihidangkan, hmm, wanginya langsung kayak semua orang kayak... Soalnya di menu gak ada kari kan, di menu makan yang hari ini. Ini kan tambahan, udah deh. Disana sih sama kari doang. Okay, dessert is next. Bahkan aku udah makan ini sama orang yang sebelah-sebelahku."
00021.wav,"Dessertnya belum keluar, guys. Kayaknya memang dessert-nya lama ya. Okay, dessert. Classic fruits. Wah, sama ada panna cotta with berry sauce. Hmm, coklat, fresh. Coklatnya kayak pingling. Berry sauce-nya juga ada berry beneran. Yummy. Kita baru dikasih air. Biasa penerbangan ENA itu, begitu masuk pesawat, duduk di kursi, udah ada air yang nunggu. Tapi kali ini, nggak ada. Jadi dari tadi, lumayan. Serat buahnya juga enak. Sisa kurang dari 8 jam lagi. Iya, 8 jam lagi persis. 7 jam 57 menit."
00023.wav,"Gantung balik lagi ke orang masing-masing sih. Kalau misalnya nggak bisa flight lama-lama, lebih enak transit di Jepang sebenarnya. Kalau aku, makin lama makin seneng. Makin bisa makan banyak, puas banget, kenyang. Udah selesai makan dan udah sikat gigi, saatnya kita ubah kursi ini menjadi kasur. Sekarang di San Francisco jam 3 sore, 3.21. Dan di Jakarta jam 5.21 pagi, subuh. Jadi I think it's okay lah buat tidur. Peralihan menuju time zone Indo."
00025.wav,"Semua jendela sudah ditutup, dan ini adalah duvet kita, alias matras. Signature of ANA, dan dia tuh kayak kardus, beneran kayak kardus. Very fluffy. Kalian bisa lihat nggak sih, kayak lepetannya tuh kayak kardus. Oke, kita bakal tidur di sini. Ini ada tulisannya yang mana yang di bawah, yang mana yang di depan. Ini adalah belakang, jadi ini yang kontak dengan kursi. Kita tidurnya di sini."
00026.wav,"Oke, udah jadi. Cukup simple ya, jadi kursinya bener-bener tinggal dilurusin aja. Ini udah jadi kastor, ini selimut yang tadi, dan kita ada kasih lapisan duvet atau matrasnya. Footrest masuk banget, bisa ke dalam situ, dan ini kalau kita tiduran full, lumayan dalam juga guys, tuh. Ini pake bantal yang tadi, enak. Duvetnya nyampe sini, di bawah bantal. Kepala masih ada headroom, kaki juga masih ada legroom, masih lumayan jauh, dan kita tetep harus pake seatbelt."
00028.wav,"Walaupun ini kebuka juga, kayak gitu, tapi dia ketutupan dikit lah, masih ada dinding yang sebelah sini buat nutupin kepalanya dia di sini, gitu loh. Makanya sebenarnya paling enak ini, dan ini yang paling susah diambil kursinya. Aku kemarin sempat dapet yang dari Jakarta ke Tokyo doang. Kalau kalian belum nonton, bisa nonton di sini. Aku mau tidur dulu, masih ada 8 jam lagi menuju Tokyo, dan nanti 2 jam terakhir itu kita akan dibangunkan untuk makan sore ya, karena nyampe di Tokyo itu jam 3 waktu Tokyo."
00029.wav,"Dan inside wifi, ENA sejauh ini gak pernah ada masalah. Kenceng juga, aku bisa post di Instagram gratis untuk semua business class. Dan kalau yang ekonomi kayaknya gratis cukup untuk text aja. Jadi kayak WA, iMessage, WeChat gitu masih bisa. Yang berbasis text only masih bisa. Sama kayak United. Otherwise, selamat tidur guys. See you later ya. Selamat sore guys. Sekarang..."
00030.wav,"Jam San Francisco, jam setengah sembilan malam, dan jam di Jakarta, jam setengah sebelas nanti ya, setengah sebelas siang. Aku sama tidur, barusan tiga jam, habis itu bangun, dan aku memutuskan untuk nggak tidur lagi, karena tadi di Indonesia itu udah jam sembilan pagi. Lalu aku kerja, di HP, buka laptop, dan ya, ini sisa dua setengah jam lagi menuju Tokyo, dan lampu kabin sudah diterangkan, tapi nanti lagi bakal ada..."
00031.wav,"Meal service terakhir sebelum kita mendarat, aku makan buah dan aku udah pesen wasok alias Japanese lagi. Tapi aku baru nyadar ini mejanya nggak enaknya tuh beda sama yang triple seven yang ada di room. Mejanya nggak bisa ngelock, ini kan kayak ada rail-nya gitu kan. Jadi pilihannya kalau nggak di sini, di ujung, atau nggak mentok sampai datang. Dia nggak bisa kayak di tengah-tengah stop gitu nggak bisa. Itu nggak enak ya, jadi kadang mentok kena kita nabrak."
00035.wav,"Udah lewat imigrasi, kita masuk ke United Polaris Lounge langsung aja. Ini adalah business class lounge-nya United. Lagi-lagi kalau dibandingin sama lounge-lounge di Asia, ini kalah jauh. Yang beda dari kunjunganku ke lounge Polaris kali ini, yang beda adalah aku masuk ke The Dining Room. Ini yang aku bilang di vlog waktu itu yang aku masuk ke United juga, tapi ke Malman."
00037.wav,"Ini sebenernya aku udah pernah cobain di flight, waktu dari... dari mana ya? Ya, pokoknya ke US, aku coba kesen ramennya juga. Ya, kayak bihun gitu, minyak kecil-kecil, mari kita coba. Enak, guys. Dan yang bikin enak tuh sebenernya kuahnya. Karena dia tonkotsu ramen, jadi rempah dari rebusan dagingnya terasa. Walaupun ini vegan sebenernya, tapi enak, serius. Jadi cocok banget ya, aku sisain daging buat dimakan sama ini, soalnya pas banget."
00039.wav,"Oh, tadi, by the way, kita keluar pesawatnya lewat pintu yang paling depan, jadi ngelewatin first class, ada delapan, full and sweet. Very nice. Semoga satu hari nanti bisa nyobain, karena kalau bisnis kelas aja makanan se-enak itu, apalagi first class sih. Lebih keren banget pasti, lebih keren lagi. Nice. Welcome to Japan. Okairi nasai. Osou seyo. Wanyong."
00041.wav,"Ramennya tuh durih buat lidah orang Indonesia tuh familiar banget. Cuman vegan, jadi gak ada dagingnya. Iya, sih gak ada. Aku ambil daging dari makanan kue yang terakhir, aku masukin ke ramen. Oke, sekarang kita mau langsung boarding menuju flight kita yang ke Jakarta. Tadi flightnya gimana mas yang dari SF? Oh, tadi tuh lebih panjang ya sebenernya flightnya ya? Lebih panjang satu jam aja sih. Cuma karena mungkin kondisi badan lebih capek, jadi aku tidurnya lumayan sih, 4 jam, 5 jam tadi. Oh, mereka tidur sisa 2 jam."
00047.wav,"Headphone jack, outlet, remote, masih yang gadul, reading light, my seat number, disini ada seat configuration buttons, mejanya ditarik dari sini, legroom, plenty, ada storage di bawah, ini dapat duvet buat tidur, ini selimut, bantal, slippers, dan headphones. Oke, mari kita makan."
00048.wav,"Ini adalah Densai dan Kobachi. Tadi tempat Amuse, Amuse-Buse, tapi sama kayak yang dari Jakarta ke Tokyo, dan aku kurang bisa makan karena itu Walnut Pistachio Stick, terus stick-nya agak keras jadi. Karena aku pakai pehel, gak terlalu bisa gigit, aku cuma makan pasta mie chicken-nya tadi. Anyway, mari kita mam. Maaf ya guys, video pesawat terakhir semuanya makanan Jepang. Sebenarnya bisa pilih International, cuman..."
00051.wav,"Hmm, enak banget. Ada wasabi, cuma aku nggak suka wasabi. Padas banget. Ada kulit tahu. Banget juga dingin nih, banget banget. Sama piring-piringnya nih, bener-bener dingin banget. Kalau kalian naik pesawat ini, kalian lihat menunya, ada Jepang dan Internasional. Apakah kalian akan pilih Jepang terus seperti aku? Atau kalian do mix and match Jepang plus Inter? Aku suka banget soalnya sama makanan Jepang tuh. Jadi kayak disuruh, terus temen-temen juga bisa pilih. Pilihnya yang Jepang. Sayuran plus jamur."
00053.wav,"Oh iya, ngomong-ngomong soal buku-menunya, ini lumayan proper ya, ini bener-bener buku, dan dia cuma tulisan judulnya tuh From Japan, arah terbangnya dari Jepang. Ada bahasa Jepang, Inggris, ada bahasa Thai juga guys. Berarti rute yang ke Bangkok, menunya sama. Dan ini yang bahasa Indonesia ini. Oke, mari kita makan obat siang kedua. Ini adalah amberjack, tapi salad style. Kita kasih dressingnya dulu. Jadinya seperti ini, mari kita coba. Ikan amberjack."
00054.wav,"Ini bener-bener masih mentah. It's very well with the salad dressing. Enak, guys. Enak banget ini, kan? Seperti Jepang tuh, enak banget. Aku beneran gak ngerti gimana caranya di pesawat bisa seenak ini makan-makanannya. Tapi yang beneran enak banget tuh beneran enak banget, guys. Karena aku pernah makan di restoran Jepang tuh banyak banget kali, kan? Dan restoran Jepang itu maksudku bukan restoran di Jepang, tapi restoran Jepang di seluruh dunia. Itu beberapa banyak yang zonk gitu, loh."
00056.wav,"Simmered beef in Japanese style sauce, terus ada grilled tailfish with miso sauce. Jadi dapet daging sapi dan ikan nasi, miso soup dan pickle. Mari kita makan, guys. Ini langsung kelihatannya, ada beef dan sebelahnya ikan. Udah terpisah, kayak ada platingnya, pake kertas itu. Mari kita coba beef-nya. Ini dari texture sih sangat-sangat lembut sekali. Wah, beef-nya bener-bener lembut. Tauannya agak sedikit terlalu manis, gue tau."
00057.wav,"Urutannya berdasarkan alfabet, bukan jam ya. Nah, kita dapat Tokyo Narita, nah itu dia, ANA 7, NH 7, gate 13, G13. So, welcome to my flight, NH 7, seat number 19, Charlie. Kita dapat ANA 777 business class, tapi bukan yang the room. Kelasnya ini business class yang tua sih, dan ini adalah satu-satunya window seat tersisa yang aku bisa secure."
00062.wav,"Di Jakartanya jet lag pasti. Anyway, aku pesen chicken curry. Untung nanti tadi di lounge gak makan, karena ini makanan yang sama lagi. Mari kita coba. Nah, ini beda dari yang flight sebelumnya, karena ini ada ayamnya. Jadi actually chicken curry. Sorry kalau flicker-flicker, soalnya disini memang gelap banget, guys. Tapi kayaknya enak pedes. Dan uniknya, ini ada mushroom, guys. Jadi gak cuma chicken aja, gak cuma daging ayam, tapi ada potongan mushroom."
00064.wav,"Kurang dari sejam lagi menuju Jakarta, guys. So, I'll see you in Jakarta. Makanannya enak. Sudah mendarat dengan selamat di Soekarno-Hatta International Airport, Jakarta. Sekarang jam setengah satu pagi, aku sudah sampai di rumah dengan selamat. Dan itulah perjalananku 20 jam lebih, bahkan hampir 24 jam sebenarnya, dari San Francisco sampai di Jakarta. Puji Tuhan, semuanya berjalan dengan lancar, flight-nya enak dua-duanya, makanannya juga aku nambah terus. Ya, kayaknya..."
00065.wav,"Penerbangan hari ini dan sebelumnya, trip ke Amerika ini mengganti posisi catering favoritku, yang sebelumnya SQ nomor 1, makanannya menurutku paling enak, SQ. Sekarang sudah tergantikan oleh ANA, All Nippon Airways. Keren banget ANA. Semoga bisa terbang lagi dan siapa tahu suatu hari nanti bisa nyobain first class juga. Kalau kemarin udah yang biasa, udah cobain The Room, next, semoga bisa cobain first class. Amin. Yaudah, segitu aja untuk video kali ini guys. Semoga kalian suka."
00067.wav,"Nah, ini aku dapet window, tapi aku dapetnya sisi yang sebelah kanan nih. Harusnya kayak orang di depan ini enak, bulkhead dia. Bulkhead terus window seat, enak banget gede. Tapi lumayan luas di sini. Di sini ada desk area, ada storage space. Ini buat taruh gelas juga bisa. Ini magazine area, safety card, sama kantong muntah. Ini sedikit storage, tapi kecil aja. Seperti itu. Kalau mau buka, tinggal dipencet. Ini juga bisa taruh barang. Headphone jack."
00068.wav,"Reading light, disini ada remote, dan ini bener-bener yang tua, ini nggak touchscreen ya, depannya kayak gini, jadul. Ya, sayangnya kita nggak dapet The Room kali siang kali ini. Seat configurations, kalau kalian mau nonton aku naik The Room, nonton videonya disini. Waktu itu aku terbang dari Tokyo menuju San Francisco, 9 jam, tuh naik The Room, enak banget. The Business Class, yang rasanya kayak first class. Produk Business Class flagship ENA. Untuk barang yang kita dapet, standar ENA ya, bantal."
00071.wav,"Ya, I thought bakal ada sesuatu nih atau apa ya, kayak mungkin ada omongan bisnis atau omongan apa gitu. Tapi enggak, casually ngomong aja, kayak ngobrol kenalan gitu. Kak Cinta Laura! Akhirnya aku yang opening ya guys, biar aku ngomong."
00072.wav,"Berpikir negatif, akhirnya aku berusaha buang itu, aku introspeksi, aku cari tahu, okay, you know what? Aku tidak bisa mengontrol reaksi orang lain, tapi aku harus mencoba, karena kalau aku nggak coba, aku nggak akan tahu. Dan kalau memang dengan cara aku berekspresi dan mudah-mudahan mereka melihat bahwa niat aku sincere dan baik, ya tidak akan ada pikiran negatif itu. You guys should read it, I love it. Heyman Suman, When Things Don't Go Your Way."
00073.wav,"Terus lama-lama, kayak udah mungkin udah biasa di Indonesia gitu, jual tiket misalnya atau apa, kayak cuma 400 yang dateng, 500 misalnya kayak gitu. Jangan ngomong cuma dong. Pastinya, when you are used to 5.000-6.000 peserta, 400 tuh jadi keliatan dikit. And I was struggling gitu, dulu aku sempet struggle dan mungkin aku gak ngomong ke publik gitu ya, cuma aku kayak struggling gitu. Cuma it's a fight in our mind, in my mind lah at least, kayak battle gitu kayak."
00074.wav,"400 orang ini banyak kok, 500 orang ini banyak kok yang event ini, gitu. Terus kayak, kalau main mams, selalu ngomong kayak, satu orang aja kamu bisa ubah hidupnya gara-gara acara itu atau gara-gara kamu sharing. Itu udah lebih dari cukup, Jer, kayak gitu. Jadi ini berhubungan sih ya sama tadi, sama Kak Cinta bilang itu. Kenapa aku bisa sekarang lebih chill, lebih kayak gitu, karena lingkunganku, aku bisa bilang lingkunganku itu..."
00075.wav,"Orang-orang chill semua. Team aku, kan aku hangout sama team aku kan sering. Terus kayak beberapa content creator yang aku sekarang deket itu orang chill gitu, yang gak kerja, yang gak workaholic. Jadinya ke-balance. Kalau aku sendirian, dulu kan aku toxic banget gak? Kayak aku workaholic, kayak aku kalau misalnya ngerasa, bahkan bagi aku tidur itu gak produktif dulu. Aku sampai segini."
00076.wav,"Gue dari dulu sampai sekarang yang tidur gak pernah produktif, menurut gue. Maksudnya istirahat itu menurut aku malah, kalau bisa dikit aja gitu. Apa, Chania? Gak bisa. Otak kita cuma masuk ke long term memory pas kita tidur. Jadi kalau misalnya kita habis bangun suatu skill, terus kita gak tidur, ya sayang karena itu gak masuk ke long term memory. Justru untuk kita bisa produktif, kita perlu tidur."
00077.wav,"Jadi tidur itu kegiatan yang produktif. Jadi kayak social, apa namanya, dulu aku pas SMA kan aku pingin dapat beasiswa gitu kan, jadi kayak belajar, belajar, belajar, kayak, pokoknya, tapi itu harus digunakan wisely, jadi buat aku berteman yang kayak cuma nongkrong ngomongin hal-hal gak seru, apa, hal-hal yang mungkin seru tapi sebenarnya gak building our mind itu menurut aku gak usah lah gitu, gitu. Tapi at a certain point, aku mulai crisis itu, mulai ngerasa kayak aku udah achieve many things in life,"
00079.wav,"Pings, gitu. Kalau kita backtrack lagi, kembali lagi, kenapa mungkin orang-orang kayak aku atau Jerome bisa kayak gini, something that you have to remember is gara-gara aku mulai karir ini di usia sangat muda, aku terbiasa berpikir dari usia..."
00081.wav,"Ada sebuah pencapaian yang harus kita dapatkan. Dan walaupun aku tahu itu bukan kebenaran, perasaan itu masih terprogram dalam diri aku. Sehingga sampai detik sekarang, walaupun aku tahu kita tidak bisa mengontrol situasi, dan kita harus bisa adaptif dan merubah strategi saat sesuatu tidak go according to plan, it's still very hard to accept. Setuju banget. Tapi menarik, menarik."
00082.wav,"Tadi kan Cita sempat bahas soal, jadi kalian itu kan orang-orang, kalian dan mungkin kita semua, itu orang-orang didorong sama iklim kompetisi kan tadi ya? Iklim kompetisi ambis, yes. Iya. Ya termasuk saya lah, karena saya bosanan orangnya, kan ya nggak kan ya? Ya udah, minum dulu minum. Jadi karena dari awal itu dibuild by competition, by rank, by, okay gua harus achieve something ya, achieve something, achieve something, and then..."
00084.wav,"Dan sekarang itu kan menimbulkan perdebatan dari orang ini, sehat atau enggak ya? Ini bagus atau enggak? Nah, Cinta sendiri sebagai orang yang emang udah terjun langsung di dunia pendidikan, yang mana ngurus sekolah, bener-bener ngegedein sekolahnya, kolahin orang di daerah-daerah itu. Bagaimana melihat ini sebenarnya? Apakah, dan sekarang itu kan arahnya, arah dari sistem dan semua kurikulum sekarang itu kan dibuat orang..."
00086.wav,"Aku sering banget di seminar-seminar universitas ngomong gini, I'm so sorry, tapi menurut aku, sekolah di sebuah Ivy League, mau itu Harvard, Columbia, dan lain sebagainya, tentu akan bikin kita bangga dan sebuah prestasi, tapi itu tidak akan menjamin seseorang menjadi seorang yang berguna."
00087.wav,"Atau bahkan seorang yang sukses. Aku melihat banyak sekali kasus-kasus seorang ke sekolah yang dianggap quote-unquote biasa aja, yang kepintarannya dan aplikasi knowledge-nya terhadap dunia nyata jauh lebih efektif daripada orang-orang yang ke Ivy League. Jadi kadang-kadang orang sekarang jadi gila-gelar, gila reputasi, gila..."
00088.wav,"Akan apa yang tertulis di sebuah kertas. And maybe it's easy for me to say that karena aku lulus dari sekolah yang prestigious. Tapi kalau ditanya sekarang apakah cinta akan tetap menjadi cinta yang sekarang kalau nggak sekolah di Columbia, well, I can't really answer that. Tapi aku cukup confident bahwa kalaupun aku sekolah di sekolah lain, aku tetap akan memiliki ambisi seperti sekarang, tetap memiliki framework berpikir seperti sekarang, dan..."
00092.wav,"Of course, I don't want to say bad things about my school, gitu. Kita berusaha yang terbaik untuk bisa memfasilitasi anak-anak di situ dengan guru-guru yang bisa mengajarkan mata pelajaran ABC dan lain sebagainya. Tapi aku tau, for example, sekarang kan Indonesia udah gak ada ujian nasional, kan? Iya, udah gak ada ranking, tinggal kelas pun gak boleh sekarang. Sorry? Tinggal kelas pun, kamu gak bisa fail. Nah."
00093.wav,"Buat aku itu sangat worrisome, karena fondasi pendidikan Indonesia belum rata."
00095.wav,"Sama sekali. Ini dia. Untuk kita tidak memiliki sebuah benchmark atau tes untuk bisa melihat di mana sih level anak-anak di setiap kepulauan itu sangat-sangat berbahaya. Karena itu berarti kita hanya memikirkan sekarang anak-anak di perkotaan atau anak-anak yang dekat daerah-daerah di mana mereka masih bisa terekspos oleh fasilitas atau berita-berita yang dapat membantu mereka berkembang lah jarak pikirnya. Dan, I mean, you know, we always say Indonesia emas 2045, kita punya goals ini, ini, ini. Tapi, how are you gonna achieve those goals kalau yang dipikirin hanya anak-anak mungkin di Jakarta, di Medan, di Bandung, di Surabaya, dan kota-kota besar lainnya. Tapi even di kota besar pun kacau lho. Iya."
00097.wav,"Kalau sekarang aku kayak ngomong ke anak-anak yang, misalnya anak SD, aku collab sama anak yang udah menang medali OSN, anak SD gitu, aku bilangnya, bagus kamu ambis tapi make sure social life-nya harus seimbang. Jadi kalau aku bisa ngulang masa lalu, tapi susah juga ya, kalau mungkin aku dulu seimbangin, aku gak ke Jepang mungkin. Jadi, jadi, apa ya? Tapi aku bersyukur pas aku kuliah, Kak, aku bisa ngurangin itu gitu, karena aku merasa..."
00098.wav,"Pertama, aku udah susah banget dan banyak banget orang jauh lebih pinter daripada aku. Jadi kayak percuma aku compete sama mereka. Jadi you know, kayak aku dulu pas olimpiade atau beasiswa aku ngerasa, okay aku bisa nih achieve ini. Tapi kalau di Jepang, aku sampai ke pada realita, kayak ditampar realita kalau misalnya these people itu udah."
00103.wav,"Taruh kelas-kelas itu Senin sampai Kamis, biasanya Jumat aku gak ada kelas. Oh, ke weekend terus ya berarti ya? Tunggu dulu. Gak tau kenapa, gak tau ini semua universitas atau enggak ya, tapi di Columbia, dari setiap kelas, kita tuh dapet PR banyak banget. Kadang-kadang dengan jangka waktu 2 hari, kita harus bisa baca ratusan halaman gitu. What the... Ya, it was crazy. Legendnya apa soalnya? Psychology dan German Lit. Oke. Ah."
00104.wav,"Nah, selain itu, aku biasanya ngambil kelas dari pagi ke sama morning person jam 4 sore, pokoknya sebelum jam 6 sore udah selesai lah. Aku akan setelah itu ngenata, nge-planning minggu aku, apa yang aku mau selesaikan di hari itu, aku kerjakan di perpustakaan dari let's say jam 6 sampai jam 10 malam. Dan pokoknya setiap hari aku pasti mengalokasikan waktu untuk mengerjakan tugas. Itu pasti setiap malam. Hari Jumatnya, aku selesain semua yang buat weekend."
00106.wav,"Satu hari full, kalau orang lain mungkin ngambil long weekend, aku nggak. Aku diperbosakan jam 9 pagi dengan breakfast aku."
00107.wav,"Ngerjain PR sampe jam 6-7 malem, terus Sabtu Minggu udah I'm free, akhirnya bisa nongkrong, bisa happy-happy, bisa fun-fun, dan itu menunjukkan kepada aku bahwa I can still have a social life, I can still be happy and do so well in school. Karena kebahagiaan yang aku rasakan dengan kehidupan sosial aku, akhirnya performance aku waktu di sekolah itu meningkat."
00108.wav,"Ya, work-life balance. The more I party, the better my grades were. Ya beneran, tapi itu karena time management yang sangat-sangat baik dan disiplin yang luar biasa. Oh gitu ya. That's why I like to plan. Terus lu kan dari SD negeri nih, SMP negeri, SMA negeri, kuliah UI, ya Depok, Putri Depok lah."
00109.wav,"Miss Depo! Yang punya masalah sosial yang mungkin lebih parah ya, korban bully dan segala macem. Enggak sih, sebenernya kalau kan yang waktu itu nggak ngerti juga sih kalau itu namanya bullying atau apa gitu. Oh. Kenapa dia bisa survive? Karena dia tidak merasa sakit oleh, dikarenakan perilaku orang-orang itu terhadapnya. Terus lu sadar itu bullying? Taunya dari orang, maksudnya pas ini ke gini, ini namanya bullying nggak sih kak? Oh iya ya gitu, yaudah gitu. Udah gitu doang. Udah gitu ya."
00111.wav,"Belajar-belajar, bejar akademis. Ngejar pengen kayak gini, tapi setuju sama pengen nemuin cinta, maksudnya, nggak tau ya menurut gue itu bukan dikotomi sih, tapi nggak tau juga kalau di Jerome balik lagi. Itu ternyata dikotomi. Iya nggak tau juga, cuman maksudnya kalau at least kalau dari pengalaman gue sendiri, gue nggak pernah kebayang sih bisa mencapai sesuatu dalam kondisi nggak nyaman gitu. Maksudnya dalam kondisi mental health gue nggak enak atau gue mental apa ya, ya maksudnya,"
00112.wav,"Gue gak enjoy life nih, gitu. Semua pencapaian, apa ya, maksudnya gue mencapai gimana ya, kayak gue berhasil mengerjakan sesuatu tuh selalu dalam kondisi state of mind gue prima, gitu. Maksudnya pas gue lagi enjoy life, justru kalau gue gak kayak gitu, biasanya lebih jelek kualitas dari apa yang gue kerjain, gitu."
